"Viewer Version";"2.91"
"COM HW Type";"RS485/USB Sensor Cable"
"COM HW Config";"Config String: COM4 , 115200, ECHOOFF"
"Sensor Cable Version";"1.8"
"Product Type";"Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config";"SHDLC Device Address: 0"
"Product ID";"SLF3S-1300F"
"Sensor Serial";"1949-000064"
"I2C Address";"8"
"Supply Voltage";"3.5 V"
"Command Address";"0x3608"
"Sampling Time [ms]";"5"
"Scale Factor Flow lin.";"500"
"Scale Factor Temp lin.";"200"
"Scale Factor Custom";"1"
"Sample #";"Relative Time[s]";"Flow linearized [ml/min]";"Temperature linearized [deg C]";"Custom []"
"38080";"189,4234";"-0,060";"29,560";"0,000"
"38081";"189,4280";"-0,084";"29,560";"0,000"
"38082";"189,4325";"-0,092";"29,560";"0,000"
"38083";"189,4371";"-0,090";"29,600";"0,000"
"38084";"189,4417";"-0,084";"29,600";"0,000"
"38085";"189,4462";"-0,048";"29,600";"0,000"
"38086";"189,4508";"-0,006";"29,600";"0,000"
"38087";"189,4561";"0,024";"29,590";"0,000"
"38088";"189,4615";"0,018";"29,590";"0,000"
"38089";"189,4668";"-0,012";"29,645";"0,000"
"38090";"189,4722";"-0,040";"29,645";"0,000"
"38091";"189,4775";"-0,054";"29,650";"0,000"
"38092";"189,4828";"-0,048";"29,650";"0,000"
"38093";"189,4868";"-0,034";"29,650";"0,000"
"38094";"189,4908";"-0,026";"29,580";"0,000"
"38095";"189,4947";"-0,018";"29,580";"0,000"
"38096";"189,4987";"-0,008";"29,625";"0,000"
"38097";"189,5033";"-0,004";"29,625";"0,000"
"38098";"189,5078";"-0,006";"29,725";"0,000"
"38099";"189,5124";"-0,006";"29,725";"0,000"
"38100";"189,5170";"-0,008";"29,610";"0,000"
"38101";"189,5216";"-0,014";"29,610";"0,000"
"38102";"189,5262";"-0,020";"29,610";"0,000"
"38103";"189,5307";"-0,024";"29,620";"0,000"
"38104";"189,5387";"-0,028";"29,620";"0,000"
"38105";"189,5467";"-0,022";"29,645";"0,000"
"38106";"189,5520";"-0,008";"29,645";"0,000"
"38107";"189,5573";"-0,004";"29,625";"0,000"
"38108";"189,5626";"-0,002";"29,625";"0,000"
"38109";"189,5667";"-0,004";"29,520";"0,000"
"38110";"189,5707";"-0,004";"29,520";"0,000"
"38111";"189,5747";"-0,008";"29,655";"0,000"
"38112";"189,5787";"-0,012";"29,655";"0,000"
"38113";"189,5833";"-0,016";"29,655";"0,000"
"38114";"189,5879";"-0,016";"29,695";"0,000"
"38115";"189,5924";"-0,010";"29,695";"0,000"
"38116";"189,5970";"-0,004";"29,590";"0,000"
"38117";"189,6016";"0,004";"29,590";"0,000"
"38118";"189,6061";"0,010";"29,650";"0,000"
"38119";"189,6107";"0,012";"29,650";"0,000"
"38120";"189,6187";"0,012";"29,675";"0,000"
"38121";"189,6268";"0,010";"29,675";"0,000"
"38122";"189,6308";"0,004";"29,675";"0,000"
"38123";"189,6347";"-0,004";"29,650";"0,000"
"38124";"189,6387";"-0,010";"29,650";"0,000"
"38125";"189,6427";"-0,010";"29,625";"0,000"
"38126";"189,6481";"-0,008";"29,625";"0,000"
"38127";"189,6535";"-0,008";"29,625";"0,000"
"38128";"189,6588";"-0,002";"29,625";"0,000"
"38129";"189,6634";"0,004";"29,690";"0,000"
"38130";"189,6679";"0,010";"29,690";"0,000"
"38131";"189,6725";"0,010";"29,690";"0,000"
"38132";"189,6770";"0,004";"29,655";"0,000"
"38133";"189,6816";"-0,006";"29,655";"0,000"
"38134";"189,6861";"-0,016";"29,675";"0,000"
"38135";"189,6907";"-0,022";"29,675";"0,000"
"38136";"189,6987";"-0,024";"29,610";"0,000"
"38137";"189,7067";"-0,018";"29,610";"0,000"
"38138";"189,7107";"-0,010";"29,680";"0,000"
"38139";"189,7147";"-0,002";"29,680";"0,000"
"38140";"189,7187";"0,010";"29,545";"0,000"
"38141";"189,7227";"0,018";"29,545";"0,000"
"38142";"189,7281";"0,016";"29,545";"0,000"
"38143";"189,7334";"0,014";"29,710";"0,000"
"38144";"189,7387";"0,012";"29,710";"0,000"
"38145";"189,7433";"0,012";"29,645";"0,000"
"38146";"189,7478";"0,008";"29,645";"0,000"
"38147";"189,7524";"0,006";"29,675";"0,000"
"38148";"189,7569";"0,002";"29,675";"0,000"
"38149";"189,7615";"0,000";"29,670";"0,000"
"38150";"189,7660";"0,000";"29,670";"0,000"
"38151";"189,7706";"0,016";"29,670";"0,000"
"38152";"189,7786";"0,030";"29,710";"0,000"
"38153";"189,7867";"0,038";"29,710";"0,000"
"38154";"189,7907";"0,032";"29,680";"0,000"
"38155";"189,7947";"0,022";"29,680";"0,000"
"38156";"189,7986";"0,024";"29,620";"0,000"
"38157";"189,8026";"0,036";"29,620";"0,000"
"38158";"189,8080";"0,050";"29,725";"0,000"
"38159";"189,8133";"0,052";"29,725";"0,000"
"38160";"189,8186";"0,048";"29,650";"0,000"
"38161";"189,8232";"0,036";"29,650";"0,000"
"38162";"189,8278";"0,020";"29,650";"0,000"
"38163";"189,8323";"0,004";"29,720";"0,000"
"38164";"189,8369";"-0,004";"29,720";"0,000"
"38165";"189,8414";"0,014";"29,610";"0,000"
"38166";"189,8460";"0,038";"29,610";"0,000"
"38167";"189,8506";"0,044";"29,700";"0,000"
"38168";"189,8586";"0,040";"29,700";"0,000"
"38169";"189,8667";"0,032";"29,670";"0,000"
"38170";"189,8707";"0,024";"29,670";"0,000"
"38171";"189,8747";"0,018";"29,670";"0,000"
"38172";"189,8787";"0,018";"29,650";"0,000"
"38173";"189,8827";"0,012";"29,650";"0,000"
"38174";"189,8880";"0,010";"29,670";"0,000"
"38175";"189,8933";"0,012";"29,670";"0,000"
"38176";"189,8987";"0,026";"29,635";"0,000"
"38177";"189,9032";"0,042";"29,635";"0,000"
"38178";"189,9078";"0,058";"29,695";"0,000"
"38179";"189,9123";"0,092";"29,695";"0,000"
"38180";"189,9169";"0,128";"29,675";"0,000"
"38181";"189,9215";"0,146";"29,675";"0,000"
"38182";"189,9260";"0,114";"29,675";"0,000"
"38183";"189,9306";"0,066";"29,630";"0,000"
"38184";"189,9359";"0,020";"29,630";"0,000"
"38185";"189,9413";"-0,012";"29,705";"0,000"
"38186";"189,9466";"-0,032";"29,705";"0,000"
"38187";"189,9520";"-0,026";"29,730";"0,000"
"38188";"189,9573";"-0,016";"29,730";"0,000"
"38189";"189,9627";"-0,022";"29,670";"0,000"
"38190";"189,9680";"-0,034";"29,670";"0,000"
"38191";"189,9733";"-0,014";"29,670";"0,000"
"38192";"189,9786";"-0,004";"29,730";"0,000"
"38193";"189,9832";"0,014";"29,730";"0,000"
"38194";"189,9878";"0,038";"29,670";"0,000"
"38195";"189,9923";"0,040";"29,670";"0,000"
"38196";"189,9969";"0,034";"29,730";"0,000"
"38197";"190,0014";"0,044";"29,730";"0,000"
"38198";"190,0060";"0,030";"29,690";"0,000"
"38199";"190,0105";"0,030";"29,690";"0,000"
"38200";"190,0159";"0,002";"29,690";"0,000"
"38201";"190,0213";"-0,010";"29,680";"0,000"
"38202";"190,0267";"-0,014";"29,680";"0,000"
"38203";"190,0320";"-0,008";"29,795";"0,000"
"38204";"190,0373";"-0,006";"29,795";"0,000"
"38205";"190,0426";"-0,006";"29,730";"0,000"
"38206";"190,0479";"0,014";"29,730";"0,000"
"38207";"190,0533";"0,032";"29,665";"0,000"
"38208";"190,0586";"0,022";"29,665";"0,000"
"38209";"190,0639";"-0,006";"29,750";"0,000"
"38210";"190,0692";"0,008";"29,750";"0,000"
"38211";"190,0745";"0,028";"29,750";"0,000"
"38212";"190,0799";"0,002";"29,685";"0,000"
"38213";"190,0852";"-0,040";"29,685";"0,000"
"38214";"190,0905";"-0,062";"29,690";"0,000"
"38215";"190,0958";"-0,054";"29,690";"0,000"
"38216";"190,1011";"-0,028";"29,690";"0,000"
"38217";"190,1064";"0,002";"29,690";"0,000"
"38218";"190,1104";"0,020";"29,720";"0,000"
"38219";"190,1144";"0,014";"29,720";"0,000"
"38220";"190,1184";"-0,002";"29,720";"0,000"
"38221";"190,1224";"-0,018";"29,670";"0,000"
"38222";"190,1278";"-0,012";"29,670";"0,000"
"38223";"190,1331";"-0,020";"29,715";"0,000"
"38224";"190,1384";"-0,024";"29,715";"0,000"
"38225";"190,1430";"-0,022";"29,695";"0,000"
"38226";"190,1475";"-0,020";"29,695";"0,000"
"38227";"190,1521";"-0,012";"29,775";"0,000"
"38228";"190,1566";"-0,010";"29,775";"0,000"
"38229";"190,1612";"-0,008";"29,760";"0,000"
"38230";"190,1658";"-0,010";"29,760";"0,000"
"38231";"190,1703";"-0,010";"29,760";"0,000"
"38232";"190,1757";"-0,002";"29,720";"0,000"
"38233";"190,1811";"0,006";"29,720";"0,000"
"38234";"190,1864";"0,004";"29,655";"0,000"
"38235";"190,1918";"-0,002";"29,655";"0,000"
"38236";"190,1971";"-0,002";"29,680";"0,000"
"38237";"190,2024";"-0,002";"29,680";"0,000"
"38238";"190,2077";"-0,010";"29,710";"0,000"
"38239";"190,2131";"-0,016";"29,710";"0,000"
"38240";"190,2184";"-0,012";"29,710";"0,000"
