"Viewer Version";"2.91"
"COM HW Type";"RS485/USB Sensor Cable"
"COM HW Config";"Config String: COM4 , 115200, ECHOOFF"
"Sensor Cable Version";"1.8"
"Product Type";"Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config";"SHDLC Device Address: 0"
"Product ID";"SLF3S-1300F"
"Sensor Serial";"1949-000064"
"I2C Address";"8"
"Supply Voltage";"3.5 V"
"Command Address";"0x3608"
"Sampling Time [ms]";"5"
"Scale Factor Flow lin.";"500"
"Scale Factor Temp lin.";"200"
"Scale Factor Custom";"1"
"Sample #";"Relative Time[s]";"Flow linearized [ml/min]";"Temperature linearized [deg C]";"Custom []"
"350711";"1 744,0367";"0,000";"31,475";"0,000"
"350712";"1 744,0420";"0,000";"31,505";"0,000"
"350713";"1 744,0473";"0,000";"31,505";"0,000"
"350714";"1 744,0526";"0,002";"31,505";"0,000"
"350715";"1 744,0579";"0,002";"31,535";"0,000"
"350716";"1 744,0632";"0,002";"31,535";"0,000"
"350717";"1 744,0685";"0,002";"31,520";"0,000"
"350718";"1 744,0739";"0,002";"31,520";"0,000"
"350719";"1 744,0793";"0,002";"31,580";"0,000"
"350720";"1 744,0846";"0,004";"31,580";"0,000"
"350721";"1 744,0899";"0,004";"31,635";"0,000"
"350722";"1 744,0952";"0,002";"31,635";"0,000"
"350723";"1 744,0992";"0,004";"31,635";"0,000"
"350724";"1 744,1032";"0,004";"31,515";"0,000"
"350725";"1 744,1072";"0,004";"31,515";"0,000"
"350726";"1 744,1112";"0,004";"31,505";"0,000"
"350727";"1 744,1157";"0,004";"31,505";"0,000"
"350728";"1 744,1203";"0,006";"31,590";"0,000"
"350729";"1 744,1249";"0,006";"31,590";"0,000"
"350730";"1 744,1294";"0,006";"31,460";"0,000"
"350731";"1 744,1340";"0,006";"31,460";"0,000"
"350732";"1 744,1386";"0,006";"31,580";"0,000"
"350733";"1 744,1431";"0,006";"31,580";"0,000"
"350734";"1 744,1511";"0,006";"31,580";"0,000"
"350735";"1 744,1592";"0,008";"31,550";"0,000"
"350736";"1 744,1645";"0,006";"31,550";"0,000"
"350737";"1 744,1698";"0,008";"31,540";"0,000"
"350738";"1 744,1752";"0,008";"31,540";"0,000"
"350739";"1 744,1791";"0,008";"31,495";"0,000"
"350740";"1 744,1831";"0,008";"31,495";"0,000"
"350741";"1 744,1871";"0,008";"31,555";"0,000"
"350742";"1 744,1911";"0,008";"31,555";"0,000"
"350743";"1 744,1956";"0,008";"31,555";"0,000"
"350744";"1 744,2002";"0,008";"31,560";"0,000"
"350745";"1 744,2048";"0,008";"31,560";"0,000"
"350746";"1 744,2093";"0,008";"31,490";"0,000"
"350747";"1 744,2139";"0,008";"31,490";"0,000"
"350748";"1 744,2185";"0,008";"31,520";"0,000"
"350749";"1 744,2230";"0,008";"31,520";"0,000"
"350750";"1 744,2311";"0,006";"31,575";"0,000"
"350751";"1 744,2392";"0,008";"31,575";"0,000"
"350752";"1 744,2432";"0,006";"31,575";"0,000"
"350753";"1 744,2472";"0,006";"31,565";"0,000"
"350754";"1 744,2512";"0,006";"31,565";"0,000"
"350755";"1 744,2552";"0,004";"31,505";"0,000"
"350756";"1 744,2605";"0,004";"31,505";"0,000"
"350757";"1 744,2658";"0,004";"31,510";"0,000"
"350758";"1 744,2711";"0,004";"31,510";"0,000"
"350759";"1 744,2769";"0,004";"31,580";"0,000"
"350760";"1 744,2826";"0,004";"31,580";"0,000"
"350761";"1 744,2883";"0,002";"31,595";"0,000"
"350762";"1 744,2941";"0,002";"31,595";"0,000"
"350763";"1 744,2998";"0,002";"31,595";"0,000"
"350764";"1 744,3055";"0,002";"31,540";"0,000"
"350765";"1 744,3113";"0,000";"31,540";"0,000"
"350766";"1 744,3170";"0,000";"31,560";"0,000"
"350767";"1 744,3210";"0,000";"31,560";"0,000"
"350768";"1 744,3250";"0,000";"31,500";"0,000"
"350769";"1 744,3290";"-0,002";"31,500";"0,000"
"350770";"1 744,3330";"-0,002";"31,600";"0,000"
"350771";"1 744,3383";"-0,002";"31,600";"0,000"
"350772";"1 744,3437";"-0,002";"31,600";"0,000"
"350773";"1 744,3490";"-0,002";"31,595";"0,000"
"350774";"1 744,3535";"-0,002";"31,595";"0,000"
"350775";"1 744,3581";"-0,002";"31,575";"0,000"
"350776";"1 744,3627";"-0,002";"31,575";"0,000"
"350777";"1 744,3672";"-0,002";"31,580";"0,000"
"350778";"1 744,3718";"-0,002";"31,580";"0,000"
"350779";"1 744,3763";"-0,002";"31,535";"0,000"
"350780";"1 744,3809";"-0,002";"31,535";"0,000"
"350781";"1 744,3863";"-0,002";"31,600";"0,000"
"350782";"1 744,3916";"-0,002";"31,600";"0,000"
"350783";"1 744,3970";"-0,004";"31,600";"0,000"
"350784";"1 744,4023";"-0,002";"31,580";"0,000"
"350785";"1 744,4076";"-0,002";"31,580";"0,000"
"350786";"1 744,4130";"-0,002";"31,500";"0,000"
"350787";"1 744,4170";"-0,004";"31,500";"0,000"
"350788";"1 744,4210";"-0,002";"31,635";"0,000"
"350789";"1 744,4250";"-0,004";"31,635";"0,000"
"350790";"1 744,4290";"-0,004";"31,530";"0,000"
"350791";"1 744,4335";"-0,004";"31,530";"0,000"
"350792";"1 744,4381";"-0,004";"31,530";"0,000"
"350793";"1 744,4426";"-0,004";"31,590";"0,000"
"350794";"1 744,4472";"-0,004";"31,590";"0,000"
"350795";"1 744,4517";"-0,004";"31,640";"0,000"
"350796";"1 744,4563";"-0,004";"31,640";"0,000"
"350797";"1 744,4608";"-0,002";"31,575";"0,000"
"350798";"1 744,4688";"-0,004";"31,575";"0,000"
"350799";"1 744,4769";"-0,002";"31,535";"0,000"
"350800";"1 744,4822";"-0,004";"31,535";"0,000"
"350801";"1 744,4875";"-0,004";"31,535";"0,000"
"350802";"1 744,4929";"-0,004";"31,595";"0,000"
"350803";"1 744,4969";"-0,002";"31,595";"0,000"
"350804";"1 744,5009";"-0,004";"31,540";"0,000"
"350805";"1 744,5049";"-0,002";"31,540";"0,000"
"350806";"1 744,5089";"-0,002";"31,570";"0,000"
"350807";"1 744,5134";"-0,002";"31,570";"0,000"
"350808";"1 744,5180";"-0,002";"31,545";"0,000"
"350809";"1 744,5225";"-0,002";"31,545";"0,000"
"350810";"1 744,5271";"-0,002";"31,605";"0,000"
"350811";"1 744,5316";"-0,002";"31,605";"0,000"
"350812";"1 744,5362";"-0,002";"31,605";"0,000"
"350813";"1 744,5407";"-0,002";"31,605";"0,000"
"350814";"1 744,5488";"0,000";"31,605";"0,000"
"350815";"1 744,5568";"0,000";"31,600";"0,000"
"350816";"1 744,5624";"0,002";"31,600";"0,000"
"350817";"1 744,5680";"0,002";"31,490";"0,000"
"350818";"1 744,5735";"0,002";"31,490";"0,000"
"350819";"1 744,5773";"0,002";"31,570";"0,000"
"350820";"1 744,5812";"0,002";"31,570";"0,000"
"350821";"1 744,5850";"0,004";"31,570";"0,000"
"350822";"1 744,5888";"0,004";"31,535";"0,000"
"350823";"1 744,5933";"0,004";"31,535";"0,000"
"350824";"1 744,5979";"0,004";"31,560";"0,000"
"350825";"1 744,6024";"0,004";"31,560";"0,000"
"350826";"1 744,6070";"0,006";"31,535";"0,000"
"350827";"1 744,6115";"0,004";"31,535";"0,000"
"350828";"1 744,6161";"0,006";"31,575";"0,000"
"350829";"1 744,6207";"0,006";"31,575";"0,000"
"350830";"1 744,6287";"0,004";"31,610";"0,000"
"350831";"1 744,6368";"0,006";"31,610";"0,000"
"350832";"1 744,6408";"0,006";"31,610";"0,000"
"350833";"1 744,6448";"0,004";"31,585";"0,000"
"350834";"1 744,6488";"0,006";"31,585";"0,000"
"350835";"1 744,6528";"0,006";"31,550";"0,000"
"350836";"1 744,6581";"0,006";"31,550";"0,000"
"350837";"1 744,6634";"0,006";"31,565";"0,000"
"350838";"1 744,6688";"0,006";"31,565";"0,000"
"350839";"1 744,6744";"0,008";"31,640";"0,000"
"350840";"1 744,6800";"0,006";"31,640";"0,000"
"350841";"1 744,6856";"0,006";"31,640";"0,000"
"350842";"1 744,6912";"0,006";"31,580";"0,000"
"350843";"1 744,6968";"0,008";"31,580";"0,000"
"350844";"1 744,7024";"0,008";"31,555";"0,000"
"350845";"1 744,7080";"0,006";"31,555";"0,000"
"350846";"1 744,7136";"0,006";"31,600";"0,000"
"350847";"1 744,7177";"0,006";"31,600";"0,000"
"350848";"1 744,7217";"0,006";"31,560";"0,000"
"350849";"1 744,7257";"0,008";"31,560";"0,000"
"350850";"1 744,7297";"0,006";"31,530";"0,000"
"350851";"1 744,7350";"0,008";"31,530";"0,000"
"350852";"1 744,7403";"0,008";"31,530";"0,000"
"350853";"1 744,7457";"0,008";"31,615";"0,000"
"350854";"1 744,7502";"0,006";"31,615";"0,000"
"350855";"1 744,7548";"0,006";"31,565";"0,000"
"350856";"1 744,7593";"0,006";"31,565";"0,000"
"350857";"1 744,7639";"0,006";"31,585";"0,000"
"350858";"1 744,7684";"0,006";"31,585";"0,000"
"350859";"1 744,7730";"0,004";"31,540";"0,000"
"350860";"1 744,7775";"0,004";"31,540";"0,000"
"350861";"1 744,7829";"0,004";"31,540";"0,000"
"350862";"1 744,7883";"0,004";"31,635";"0,000"
"350863";"1 744,7937";"0,002";"31,635";"0,000"
"350864";"1 744,7990";"0,002";"31,625";"0,000"
"350865";"1 744,8043";"0,002";"31,625";"0,000"
"350866";"1 744,8096";"0,002";"31,630";"0,000"
"350867";"1 744,8150";"0,000";"31,630";"0,000"
"350868";"1 744,8203";"-0,002";"31,650";"0,000"
"350869";"1 744,8257";"-0,002";"31,650";"0,000"
"350870";"1 744,8310";"-0,002";"31,650";"0,000"
"350871";"1 744,8363";"-0,002";"31,570";"0,000"
"350872";"1 744,8416";"-0,002";"31,570";"0,000"
"350873";"1 744,8469";"-0,002";"31,580";"0,000"
"350874";"1 744,8522";"-0,002";"31,580";"0,000"
"350875";"1 744,8575";"-0,002";"31,560";"0,000"
"350876";"1 744,8628";"-0,002";"31,560";"0,000"
"350877";"1 744,8681";"-0,002";"31,565";"0,000"
"350878";"1 744,8735";"-0,002";"31,565";"0,000"
"350879";"1 744,8775";"-0,002";"31,600";"0,000"
"350880";"1 744,8815";"-0,004";"31,600";"0,000"
"350881";"1 744,8855";"-0,002";"31,600";"0,000"
"350882";"1 744,8895";"-0,002";"31,580";"0,000"
"350883";"1 744,8948";"-0,004";"31,580";"0,000"
"350884";"1 744,9001";"-0,002";"31,540";"0,000"
"350885";"1 744,9055";"-0,004";"31,540";"0,000"
"350886";"1 744,9100";"-0,004";"31,545";"0,000"
"350887";"1 744,9146";"-0,002";"31,545";"0,000"
"350888";"1 744,9191";"-0,006";"31,600";"0,000"
"350889";"1 744,9237";"-0,004";"31,600";"0,000"
"350890";"1 744,9283";"-0,004";"31,600";"0,000"
"350891";"1 744,9328";"-0,004";"31,645";"0,000"
"350892";"1 744,9374";"-0,004";"31,645";"0,000"
"350893";"1 744,9428";"-0,004";"31,580";"0,000"
"350894";"1 744,9481";"-0,004";"31,580";"0,000"
"350895";"1 744,9535";"-0,004";"31,580";"0,000"
"350896";"1 744,9588";"-0,004";"31,580";"0,000"
"350897";"1 744,9641";"-0,004";"31,640";"0,000"
"350898";"1 744,9694";"-0,004";"31,640";"0,000"
"350899";"1 744,9748";"-0,004";"31,605";"0,000"
"350900";"1 744,9801";"-0,004";"31,605";"0,000"
"350901";"1 744,9855";"-0,004";"31,605";"0,000"
"350902";"1 744,9907";"-0,002";"31,600";"0,000"
"350903";"1 744,9960";"-0,004";"31,600";"0,000"
"350904";"1 745,0012";"-0,004";"31,565";"0,000"
"350905";"1 745,0065";"-0,002";"31,565";"0,000"
"350906";"1 745,0117";"-0,004";"31,585";"0,000"
"350907";"1 745,0170";"-0,002";"31,585";"0,000"
"350908";"1 745,0222";"-0,002";"31,570";"0,000"
"350909";"1 745,0275";"-0,002";"31,570";"0,000"
"350910";"1 745,0315";"-0,002";"31,570";"0,000"
"350911";"1 745,0355";"-0,002";"31,650";"0,000"
"350912";"1 745,0395";"-0,002";"31,650";"0,000"
"350913";"1 745,0435";"-0,002";"31,640";"0,000"
"350914";"1 745,0488";"-0,002";"31,640";"0,000"
"350915";"1 745,0542";"-0,002";"31,585";"0,000"
"350916";"1 745,0595";"0,000";"31,585";"0,000"
"350917";"1 745,0647";"0,000";"31,550";"0,000"
"350918";"1 745,0700";"0,002";"31,550";"0,000"
"350919";"1 745,0752";"0,002";"31,550";"0,000"
"350920";"1 745,0805";"0,002";"31,680";"0,000"
"350921";"1 745,0857";"0,002";"31,680";"0,000"
"350922";"1 745,0910";"0,002";"31,690";"0,000"
