"Viewer Version";"2.91"
"COM HW Type";"RS485/USB Sensor Cable"
"COM HW Config";"Config String: COM4 , 115200, ECHOOFF"
"Sensor Cable Version";"1.8"
"Product Type";"Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config";"SHDLC Device Address: 0"
"Product ID";"SLF3S-1300F"
"Sensor Serial";"1949-000064"
"I2C Address";"8"
"Supply Voltage";"3.5 V"
"Command Address";"0x3608"
"Sampling Time [ms]";"5"
"Scale Factor Flow lin.";"500"
"Scale Factor Temp lin.";"200"
"Scale Factor Custom";"1"
"Sample #";"Relative Time[s]";"Flow linearized [ml/min]";"Temperature linearized [deg C]";"Custom []"
"9483";"47,1747";"0,074";"31,600";"0,000"
"9484";"47,1793";"0,072";"31,600";"0,000"
"9485";"47,1839";"0,064";"31,550";"0,000"
"9486";"47,1884";"0,054";"31,550";"0,000"
"9487";"47,1930";"0,048";"31,590";"0,000"
"9488";"47,1975";"0,042";"31,590";"0,000"
"9489";"47,2021";"0,038";"31,590";"0,000"
"9490";"47,2101";"0,036";"31,620";"0,000"
"9491";"47,2180";"0,038";"31,620";"0,000"
"9492";"47,2221";"0,038";"31,625";"0,000"
"9493";"47,2261";"0,036";"31,625";"0,000"
"9494";"47,2302";"0,036";"31,560";"0,000"
"9495";"47,2342";"0,036";"31,560";"0,000"
"9496";"47,2395";"0,036";"31,540";"0,000"
"9497";"47,2449";"0,044";"31,540";"0,000"
"9498";"47,2502";"0,056";"31,600";"0,000"
"9499";"47,2534";"0,078";"31,600";"0,000"
"9500";"47,2565";"0,106";"31,600";"0,000"
"9501";"47,2597";"0,144";"31,640";"0,000"
"9502";"47,2629";"0,184";"31,640";"0,000"
"9503";"47,2660";"0,218";"31,520";"0,000"
"9504";"47,2822";"0,244";"31,520";"0,000"
"9505";"47,2875";"0,264";"31,640";"0,000"
"9506";"47,2929";"0,274";"31,640";"0,000"
"9507";"47,2983";"0,284";"31,620";"0,000"
"9508";"47,3022";"0,294";"31,620";"0,000"
"9509";"47,3062";"0,304";"31,620";"0,000"
"9510";"47,3102";"0,300";"31,545";"0,000"
"9511";"47,3142";"0,268";"31,545";"0,000"
"9512";"47,3206";"0,238";"31,595";"0,000"
"9513";"47,3270";"0,220";"31,595";"0,000"
"9514";"47,3334";"0,212";"31,635";"0,000"
"9515";"47,3398";"0,204";"31,635";"0,000"
"9516";"47,3462";"0,198";"31,610";"0,000"
"9517";"47,3502";"0,186";"31,610";"0,000"
