"Viewer Version";"2.91"
"COM HW Type";"RS485/USB Sensor Cable"
"COM HW Config";"Config String: COM4 , 115200, ECHOOFF"
"Sensor Cable Version";"1.8"
"Product Type";"Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config";"SHDLC Device Address: 0"
"Product ID";"SLF3S-1300F"
"Sensor Serial";"1949-000064"
"I2C Address";"8"
"Supply Voltage";"3.5 V"
"Command Address";"0x3608"
"Sampling Time [ms]";"5"
"Scale Factor Flow lin.";"500"
"Scale Factor Temp lin.";"200"
"Scale Factor Custom";"1"
"Sample #";"Relative Time[s]";"Flow linearized [ml/min]";"Temperature linearized [deg C]";"Custom []"
"31012";"154,2457";"-0,002";"29,310";"0,000"
"31013";"154,2503";"-0,002";"29,305";"0,000"
"31014";"154,2549";"-0,002";"29,305";"0,000"
"31015";"154,2594";"-0,002";"29,305";"0,000"
"31016";"154,2640";"-0,002";"29,305";"0,000"
"31017";"154,2685";"-0,002";"29,300";"0,000"
"31018";"154,2731";"-0,002";"29,300";"0,000"
"31019";"154,2784";"-0,002";"29,245";"0,000"
"31020";"154,2837";"-0,002";"29,245";"0,000"
"31021";"154,2890";"-0,002";"29,245";"0,000"
"31022";"154,2944";"-0,002";"29,285";"0,000"
"31023";"154,2997";"-0,002";"29,285";"0,000"
"31024";"154,3051";"-0,002";"29,305";"0,000"
"31025";"154,3104";"-0,002";"29,305";"0,000"
"31026";"154,3157";"-0,002";"29,235";"0,000"
"31027";"154,3210";"-0,002";"29,235";"0,000"
"31028";"154,3265";"-0,002";"29,285";"0,000"
"31029";"154,3320";"-0,002";"29,285";"0,000"
"31030";"154,3375";"-0,002";"29,285";"0,000"
"31031";"154,3430";"-0,002";"29,345";"0,000"
"31032";"154,3485";"-0,002";"29,345";"0,000"
"31033";"154,3539";"-0,002";"29,225";"0,000"
"31034";"154,3594";"-0,002";"29,225";"0,000"
"31035";"154,3649";"-0,002";"29,325";"0,000"
"31036";"154,3689";"-0,002";"29,325";"0,000"
"31037";"154,3729";"-0,002";"29,280";"0,000"
"31038";"154,3769";"-0,002";"29,280";"0,000"
"31039";"154,3809";"-0,002";"29,280";"0,000"
"31040";"154,3849";"-0,002";"29,245";"0,000"
"31041";"154,3889";"-0,002";"29,245";"0,000"
"31042";"154,3929";"-0,002";"29,265";"0,000"
"31043";"154,3969";"-0,002";"29,265";"0,000"
"31044";"154,4015";"-0,002";"29,300";"0,000"
"31045";"154,4060";"-0,002";"29,300";"0,000"
