"Viewer Version";"2.91"
"COM HW Type";"RS485/USB Sensor Cable"
"COM HW Config";"Config String: COM4 , 115200, ECHOOFF"
"Sensor Cable Version";"1.8"
"Product Type";"Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config";"SHDLC Device Address: 0"
"Product ID";"SLF3S-1300F"
"Sensor Serial";"1949-000064"
"I2C Address";"8"
"Supply Voltage";"3.5 V"
"Command Address";"0x3608"
"Sampling Time [ms]";"5"
"Scale Factor Flow lin.";"500"
"Scale Factor Temp lin.";"200"
"Scale Factor Custom";"1"
"Sample #";"Relative Time[s]";"Flow linearized [ml/min]";"Temperature linearized [deg C]";"Custom []"
"168";"0,8511";"0,000";"40,215";"1,000"
"169";"0,8543";"0,000";"40,250";"1,000"
"170";"0,8575";"0,000";"40,250";"1,000"
"171";"0,8606";"0,000";"40,250";"1,000"
"172";"0,8638";"0,000";"40,315";"1,000"
"173";"0,8718";"0,000";"40,315";"1,000"
"174";"0,8798";"0,000";"40,330";"1,000"
"175";"0,8851";"0,000";"40,330";"1,000"
"176";"0,8905";"0,000";"40,310";"1,000"
"177";"0,8958";"0,000";"40,310";"1,000"
"178";"0,9011";"0,000";"40,225";"1,000"
"179";"0,9065";"0,000";"40,225";"1,000"
"180";"0,9118";"0,000";"40,295";"1,000"
"181";"0,9173";"0,000";"40,295";"1,000"
"182";"0,9228";"-0,002";"40,295";"1,000"
"183";"0,9283";"0,000";"40,395";"1,000"
"184";"0,9338";"0,000";"40,395";"1,000"
"185";"0,9393";"0,000";"40,340";"1,000"
"186";"0,9448";"-0,002";"40,340";"1,000"
"187";"0,9503";"0,000";"40,430";"1,000"
"188";"0,9557";"0,000";"40,430";"1,000"
"189";"0,9595";"0,000";"40,335";"1,000"
"190";"0,9632";"0,000";"40,335";"1,000"
"191";"0,9670";"0,000";"40,335";"1,000"
"192";"0,9707";"-0,002";"40,375";"1,000"
"193";"0,9761";"-0,002";"40,375";"1,000"
"194";"0,9814";"0,000";"40,410";"1,000"
"195";"0,9867";"-0,002";"40,410";"1,000"
"196";"0,9921";"0,000";"40,440";"1,000"
"197";"0,9974";"0,000";"40,440";"1,000"
"198";"1,0027";"-0,002";"40,445";"1,000"
"199";"1,0081";"0,000";"40,445";"1,000"
"200";"1,0134";"-0,002";"40,470";"1,000"
"201";"1,0187";"0,000";"40,470";"1,000"
"202";"1,0227";"0,002";"40,470";"1,000"
"203";"1,0267";"-0,002";"40,400";"1,000"
"204";"1,0307";"0,000";"40,400";"1,000"
"205";"1,0347";"-0,002";"40,435";"1,000"
"206";"1,0401";"0,000";"40,435";"1,000"
"207";"1,0455";"0,000";"40,450";"1,000"
"208";"1,0509";"0,000";"40,450";"1,000"
"209";"1,0559";"0,000";"40,460";"1,000"
"210";"1,0610";"0,000";"40,460";"1,000"
"211";"1,0660";"0,000";"40,460";"1,000"
"212";"1,0711";"0,000";"40,490";"1,000"
"213";"1,0740";"0,000";"40,490";"1,000"
"214";"1,0769";"-0,002";"40,475";"1,000"
"215";"1,0798";"0,000";"40,475";"1,000"
"216";"1,0827";"-0,002";"40,480";"1,000"
"217";"1,0908";"-0,002";"40,480";"1,000"
"218";"1,0988";"-0,002";"40,480";"1,000"
"219";"1,1042";"-0,002";"40,480";"1,000"
"220";"1,1095";"0,000";"40,520";"1,000"
"221";"1,1148";"-0,002";"40,520";"1,000"
"222";"1,1188";"0,000";"40,520";"1,000"
"223";"1,1228";"-0,002";"40,565";"1,000"
"224";"1,1267";"0,000";"40,565";"1,000"
"225";"1,1307";"0,000";"40,530";"1,000"
"226";"1,1361";"-0,002";"40,530";"1,000"
"227";"1,1414";"-0,002";"40,540";"1,000"
"228";"1,1468";"0,000";"40,540";"1,000"
"229";"1,1522";"0,000";"40,595";"1,000"
"230";"1,1575";"0,000";"40,595";"1,000"
"231";"1,1628";"-0,002";"40,595";"1,000"
"232";"1,1682";"0,000";"40,560";"1,000"
"233";"1,1735";"0,000";"40,560";"1,000"
"234";"1,1788";"0,000";"40,605";"1,000"
"235";"1,1828";"0,000";"40,605";"1,000"
"236";"1,1868";"-0,002";"40,595";"1,000"
"237";"1,1907";"-0,002";"40,595";"1,000"
"238";"1,1947";"-0,002";"40,500";"1,000"
"239";"1,2027";"0,000";"40,500";"1,000"
"240";"1,2107";"0,000";"40,535";"1,000"
"241";"1,2148";"0,000";"40,535";"1,000"
"242";"1,2188";"0,000";"40,535";"1,000"
"243";"1,2228";"0,000";"40,660";"1,000"
"244";"1,2268";"-0,002";"40,660";"1,000"
"245";"1,2322";"-0,002";"40,600";"1,000"
"246";"1,2375";"0,000";"40,600";"1,000"
"247";"1,2428";"-0,002";"40,635";"1,000"
"248";"1,2468";"0,000";"40,635";"1,000"
"249";"1,2507";"0,000";"40,585";"1,000"
"250";"1,2546";"0,000";"40,585";"1,000"
"251";"1,2586";"0,000";"40,585";"1,000"
